鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區政大二街１０３號六樓,58.68,都市：其他:第二種住宅區。,,,1100630,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850815,147.73,3,2,2,有,有,18300000,123875,坡道機械,0.0,0,,RPRNMLTKPHGGFAA87DA,85.87,14.4,0.0,有,
文山區,房地(土地+建物),臺北市文山區景興路４３號四樓,28.75,都市：其他:第三種住宅區。,,,1100722,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660323,87.11,3,2,1,有,無,12500000,143497,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPUNMLTJQHGGFAA18DA,81.26,5.85,0.0,無,
文山區,車位,臺北市文山區木柵路一段３５７號,3.99,都市：其他:第三種住宅區。,,,1100701,土地1建物1車位4,一層,十四層,其他,一般事務所,鋼筋混凝土造,0970627,86.13,0,0,0,有,有,4800000,,坡道機械,85.4,4800000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPNMLKKQHGGFAA86DA,0.0,0.0,0.0,有,001
文山區,房地(土地+建物),臺北市文山區木柵路二段１０９巷１００弄４０號二樓,20.05,都市：其他:第二種住宅區。,,,1100721,土地2建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,41.03,1,0,1,有,有,5450000,132830,,0.0,0,其他增建；,RPXNMLLKQHGGFAA77DA,26.2,5.25,0.0,有,
文山區,房地(土地+建物),臺北市文山區萬安街３０巷２號四樓之１,42.0,都市：其他:道路用地(公共設施用地)。72/10/11,,,1091004,土地3建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0720728,96.77000000000001,3,2,1,有,有,12750000,131756,,0.0,0,其他增建；,RPVNMLRKQHGGFAA18DA,65.69,10.4,0.0,有,
文山區,房地(土地+建物),臺北市文山區福興路２４號三樓,38.17,都市：其他:第三種住宅區。,,,1100630,土地2建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,69.82,3,1,1,有,無,10000000,143225,,0.0,0,,RPPNMLKLQHGGFAA96DA,69.82,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區漢中街８號四樓之４、四樓之５,13.12,都市：其他:第四種商業區。,,,1100626,土地3建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670719,89.19,2,2,2,有,有,14750000,165377,,0.0,0,陽台外推；其他增建；,RPTOMLLLPHGGFBA57DA,54.42,21.3,0.0,有,002
大同區,房地(土地+建物),臺北市大同區重慶北路三段１２０巷４１號二樓,17.6,都市：其他:第四種住宅區。,,,1100730,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721014,65.52,2,1,2,有,無,10200000,155678,,0.0,0,陽台外推；,RPWNMLNJQHGGFBA87DA,54.6,10.92,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段１５２號十一樓之１,6.37,都市：其他:第四種商業區。,,,1100721,土地3建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941024,67.42,1,1,1,有,有,12800000,189855,,0.0,0,其他增建；,RPUOMLNJQHGGFBA77DA,37.81,6.44,0.0,有,
