鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),高雄市鼓山區文忠路１４５號五樓,6.5,都市：其他:第四種商業區,,,1100724,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020527,75.73,2,1,1,有,有,5200000,68665,,0.0,0,含傢俱設備費；,RPVNMLKMPHGGFAE97DA,42.64,3.15,0.0,有,001
前金區,房地(土地+建物),高雄市前金區大同一路２９０號十二樓,4.17,都市：其他:第四種商業區,,,1100721,土地1建物1車位0,十二層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,1070904,65.05000000000001,2,1,1,有,有,6000000,92237,,0.0,0,,RPSOMLKKQHGGFAE67DA,37.38,5.0,0.0,有,002
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路１３６號二十一樓,6.14,都市：其他:第五種商業區,,,1100806,土地1建物1車位1,二十一層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100205,118.52000000000001,2,1,2,有,有,8880000,74924,坡道機械,24.82,0,,RPQOMLQKQHGGFAE08DA,56.69,3.51,0.0,有,
鼓山區,建物,高雄市鼓山區哨船街４１號五樓,0.0,,,,1100806,土地0建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860715,159.79000000000002,3,2,2,有,無,1500000,9387,,0.0,0,未含土地之建物買賣.親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSKQHGGFAE18DA,122.04,15.73,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區厚德路１６６號十樓之２,16.67,都市：其他:第五種住宅區,,,1100520,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921203,138.39999999999998,3,2,2,有,有,7900000,57081,坡道平面,22.82,0,主臥增建鐵窗其他增建；,RPROMLSKQHGGFAE38DA,72.34,9.12,0.0,有,003
鹽埕區,房地(土地+建物),高雄市鹽埕區光榮街８５號四樓之２,10.79,都市：其他:第五種商業區,,,1100729,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,140.34,3,2,2,有,有,8500000,60567,,0.0,0,附家電家具,RPVOMLSKQHGGFAE78DA,90.67,11.05,0.0,有,
苓雅區,房地(土地+建物),高雄市苓雅區林泉街４８號三樓,35.2,都市：其他:第四種住宅區,,,1100620,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0751023,174.82,3,2,2,有,有,11000000,62922,,0.0,0,,RPPOMLOKPHGGFBE77DA,131.48,17.89,0.0,有,
苓雅區,房地(土地+建物),高雄市苓雅區中正二路１０１號十二樓之３,9.68,都市：其他:第五種商業區,,,1100716,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0741002,101.13,3,2,2,有,有,5380000,53199,,0.0,0,陽台外推；,RPOPMLQKPHGGFBE97DA,63.94,15.13,0.0,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維四路２３９號二十樓之６,13.51,都市：其他:第五種住宅區,,,1100708,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900529,161.69,2,2,2,有,有,14200000,87817,坡道平面,26.48,0,,RPRNMLQJQHGGFBE08DA,87.88,11.33,0.0,有,004
苓雅區,房地(土地+建物),高雄市苓雅區憲政路４６巷４弄８之４號,42.0,都市：其他:道路用地,,,1100623,土地5建物1車位0,五層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0580801,127.77,4,2,2,有,有,4160000,32559,,0.0,0,本件賣方免除物之瑕疵擔保責任，惟若重大瑕疵除外如：非自然身故、輻射屋、海砂屋...等。陽台外推；,RPXNMLQJQHGGFBE68DA,127.77,0.0,0.0,有,
苓雅區,房地(土地+建物),高雄市苓雅區仁智街１９７之２號,70.8,都市：其他:第三種商業區,,,1100809,土地1建物2車位0,四層，五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920826,306.7,3,2,3,有,無,12000000,39126,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPWNMLTJQHGGFBE88DA,167.2,56.23,0.0,有,
苓雅區,房地(土地+建物),高雄市苓雅區仁智街１９７之１號,35.4,都市：其他:第三種商業區,,,1100809,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920826,156.39,3,2,2,有,無,7000000,44760,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPXNMLTJQHGGFBE98DA,90.04,24.71,0.0,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中東街７８號八樓,19.74,都市：其他:第二種特定商業專用區,,,1100707,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100226,188.24,2,2,2,有,有,12910000,76124,坡道平面,39.01,1550000,預售屋、或土地及建物分件登記案件；,RPPNMLKKQHGGFBE37DA,85.69,9.16,0.0,有,
