鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３９２號十五樓,15.05,都市：其他:第二種住宅區,,,1100605,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,124.09,2,2,1,有,有,14280000,139936,坡道平面,33.12,1550000,,RPWTMLSJOHGGFAF56DA,52.08,7.43,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３７８號十六樓,15.2,都市：其他:第二種住宅區,,,1100705,土地1建物1車位2,十六層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,155.89,2,2,1,有,有,17400000,156163,坡道平面,66.24,3400000,含裝潢費；,RPSNMLRJPHGGFAF18DA,52.37,6.31,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３６６號十八樓,15.35,都市：其他:第二種住宅區,,,1100711,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,126.11,2,2,1,有,有,16180000,155178,坡道平面,33.12,1750000,含裝潢費；,RPVOMLNKPHGGFAF28DA,52.29,8.57,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３８８號十二樓,15.62,都市：其他:第二種住宅區,,,1100314,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,127.69999999999999,2,2,1,有,有,14880000,141996,坡道平面,33.12,1450000,含裝潢費；,RPQPMLKMLHGGFAF37DA,54.34,7.62,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３８６號十八樓,15.28,都市：其他:第二種住宅區,,,1100505,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,125.52,2,2,1,有,有,14580000,141017,坡道平面,33.12,1550000,,RPWRMLKKNHGGFAF18DA,52.85,7.59,0.0,有,
土城區,房地(土地+建物),新北市土城區延吉街２１７巷１３號四樓,24.68,都市：其他:第一種住宅區,,,1100715,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740819,82.44,3,1,1,有,無,6000000,72780,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLTKPHGGFAF88DA,70.54,11.9,0.0,無,0001
土城區,房地(土地+建物),新北市土城區金城路三段３３巷６號十一樓,25.1,都市：其他:第二種住宅區,,,1100622,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991228,129.21,3,2,2,有,有,17600000,136212,,0.0,0,陽台外推；夾層；其他增建；,RPURMLLLPHGGFAF38DA,86.23,10.74,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３６８號三樓,15.28,都市：其他:第二種住宅區,,,1100717,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1090804,125.63,2,2,1,有,有,15380000,147335,坡道平面,33.12,1750000,含裝潢費；,RPWPMLKLPHGGFAF28DA,52.14,8.41,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街３９０號八樓,15.47,都市：其他:第二種住宅區,,,1100716,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,126.63,2,2,1,有,有,14350000,135280,坡道平面,33.12,1700000,含裝潢費；,RPXPMLKLPHGGFAF38DA,53.6,7.62,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區新崑路８０號八樓,16.21,都市：其他:住宅區,,,1100725,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051124,99.22999999999999,2,2,1,有,有,10400000,104807,坡道平面,24.71,0,,RPOOMLKKQHGGFAF37DA,40.79,9.51,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路２７５巷２４號,90.0,都市：其他:住宅區,,,1100718,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580731,126.46,3,2,2,有,無,21880000,173019,,0.0,0,其他增建；,RPRRMLLKQHGGFAF08DA,126.46,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區南雅南路一段８號十一樓,8.62,都市：其他:商業區,,,1100718,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830528,100.45,3,1,1,有,有,13200000,131409,,0.0,0,陽台外推；其他增建；,RPPSMLQKQHGGFAF48DA,66.37,9.25,0.0,有,0003
土城區,房地(土地+建物),新北市土城區亞洲路９８號二樓,10.68,都市：其他:乙種工業區,,,1100717,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0831015,98.36,2,2,1,有,有,7400000,75234,,0.0,0,陽台外推；其他增建；,RPQSMLQKQHGGFAF58DA,78.65,9.33,0.0,有,
土城區,房地(土地+建物),新北市土城區清水路３２８號十樓,6.63,都市：其他:第二種住宅區,,,1100719,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851220,90.72,3,2,1,有,無,10000000,110229,,0.0,0,陽台外推；其他增建；,RPTPMLNKQHGGFAF28DA,65.04,11.03,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區清水路１４１巷１０號,13.84,都市：其他:第二種商業區,,,1100609,土地1建物1車位3,一層，二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0851011,168.47,1,1,1,有,有,15000000,89037,升降機械,0.0,0,,RPQPMLQKQHGGFAF28DA,90.16,0.0,0.0,有,
土城區,房地(土地+建物),新北市土城區明德路一段２５９號四樓,23.38,都市：其他:第一種住宅區,,,1100717,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,78.26,3,2,1,有,無,6800000,86890,,0.0,0,陽台外推；,RPPSMLRKQHGGFAF58DA,73.51,4.75,0.0,無,
土城區,房地(土地+建物)+車位,新北市土城區裕華街１８號十九樓,31.92,都市：其他:乙種工業區,,,1100722,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),工業發展有關設施（工業產品展示服務業）,鋼筋混凝土造,1080625,168.37,0,0,0,無,有,17350000,118937,坡道平面,39.31,2000000,,RPRNMLSKQHGGFAF38DA,75.11,10.97,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街２２號十六樓,18.9,都市：其他:乙種工業區,,,1100710,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),工業發展有關設施（工業產品展示服務業）,鋼筋混凝土造,1080625,113.91,0,0,0,無,有,10810000,119437,坡道平面,39.31,1900000,,RPSNMLSKQHGGFAF48DA,45.19,4.53,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５７０號七樓,13.21,都市：其他:商業區,,,1100725,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100421,121.57,2,2,1,有,有,14600000,120095,坡道平面,29.87,0,,RPSPMLSKQHGGFAF68DA,52.05,7.18,0.0,有,
板橋區,房地(土地+建物),新北市板橋區金門街２１５巷３１號五樓,23.8,都市：其他:第一種住宅區,,,1100728,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851209,115.16,3,2,2,有,有,11650000,101164,,0.0,0,,RPTQMLSKQHGGFAF88DA,78.6,8.31,0.0,有,0004
板橋區,車位,新北市板橋區雙十路二段７１號等共同使用,5.25,都市：其他:住宅區,,,1100806,土地1建物1車位1,,,其他,,,,53.77,0,0,0,有,有,1700000,,升降平面,53.77,1700000,僅車位交易；,RPXQMLSKQHGGFAF66DA,0.0,0.0,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路２０６號四樓,5.51,都市：其他:商業區,,,1100727,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1071227,92.46000000000001,2,1,1,有,有,13100000,141683,坡道平面,23.98,0,,RPRNMLKLQHGGFAF67DA,40.82,4.72,0.0,有,0005
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段４７８號十七樓之二,55.79,都市：其他:乙種工業區,,,1100525,土地1建物1車位2,十七層,十九層,住宅大樓(11層含以上有電梯),工廠,鋼筋混凝土造,1070831,330.54999999999995,0,0,0,無,有,23800000,76043,坡道平面,54.39,2800000,,RPXRMLSLNHGGFBF66DA,162.14,15.12,0.0,有,
泰山區,房地(土地+建物)+車位,新北市泰山區明志路三段４７８號十七樓之三,55.92,都市：其他:乙種工業區,,,1100525,土地1建物1車位2,十七層,十九層,住宅大樓(11層含以上有電梯),工廠,鋼筋混凝土造,1070831,331.34000000000003,0,0,0,無,有,23800000,75826,坡道平面,54.39,2800000,,RPQSMLSLNHGGFBF68DA,162.65,15.12,0.0,有,
林口區,房地(土地+建物)+車位,新北市林口區忠孝三路７３號二十六樓,39.18,都市：其他:第五種住宅區,,,1100606,土地1建物1車位2,二十六層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030506,369.76,3,2,3,有,有,43500000,116788,坡道平面,31.54,4000000,其他增建；,RPWNMLQJOHGGFBF48DA,191.31,32.25,0.0,有,0006
新莊區,房地(土地+建物)+車位,新北市新莊區中正路１９１號七樓之三,26.86,都市：其他:住宅區,,,1100705,土地1建物1車位2,七層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051122,278.56,3,2,2,有,有,32340000,143833,坡道平面,78.05,3500000,,RPVQMLQJPHGGFBF78DA,118.34,21.07,0.0,有,
新莊區,房地(土地+建物)+車位,新北市新莊區中正路１９５號十一樓,21.46,都市：其他:住宅區,,,1100715,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051122,206.76999999999998,3,2,2,有,有,26400000,144775,坡道平面,36.16,1700000,,RPOTMLQKPHGGFBF48DA,100.32,15.25,0.0,有,
林口區,房地(土地+建物)+車位,新北市林口區民有街７１號四樓,13.22,都市：其他:中心商業區,,,1100720,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940726,148.95,4,2,2,有,有,11600000,77878,坡道平面,20.45,0,其他增建:雨遮增建欄杆增建陽台鋁網增建陽台外推；其他增建；,RPWPMLKLPHGGFBF38DA,73.56,16.99,0.0,有,
五股區,房地(土地+建物)+車位,新北市五股區芳洲一路６９號十樓,15.52,都市：其他:住宅區,,,1100711,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1031009,101.53999999999999,2,1,1,有,有,9000000,88635,坡道平面,20.07,0,,RPTQMLNLPHGGFBF48DA,49.17,6.22,0.0,有,0007
新莊區,房地(土地+建物),新北市新莊區四維路１９７巷１號五樓,21.89,都市：其他:住宅區,,,1100718,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701222,95.67,3,2,2,有,無,7770000,81217,,0.0,0,,RPSNMLRLPHGGFBF48DA,83.52,12.15,0.0,無,0008
新莊區,房地(土地+建物)+車位,新北市新莊區中正路３４０巷２３號二樓,23.7,都市：其他:住宅區,,,1100717,土地1建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090618,196.98000000000002,4,2,3,有,有,29880000,158495,坡道平面,24.23,2500000,,RPSOMLTLPHGGFBF78DA,108.03,5.83,0.0,有,
新莊區,房地(土地+建物)+車位,新北市新莊區青山路一段６４號二樓,18.3,都市：其他:住宅區,,,1100711,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940906,174.14,4,2,2,有,有,13160000,75571,坡道平面,26.42,0,,RPVPMLMJQHGGFBF38DA,101.22,10.27,0.0,有,
