鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),桃園市桃園區福山街９１號五樓,34.43,都市：其他:住宅區,,,1100604,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820525,115.91,4,2,3,有,無,7600000,65568,,0.0,0,頂樓加蓋；,RPSRMLMLOHGGFAH38DA,97.09,10.52,0.0,有,0001
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段１８１巷２號十四樓之八,35.07,都市：其他:住宅區,,,1100718,土地1建物1車位1,十四層，十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,238.0,4,2,2,有,有,13750000,57773,坡道平面,0.0,0,,RPQPMLKMPHGGFAH97DA,142.69,13.36,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路４５８之９號十樓,23.9,都市：其他:住宅區,,,1100805,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030610,195.61,3,2,2,有,有,12680000,64823,坡道平面,74.94,0,陽台外推；,RPPONLTJQHGGFAH58DA,72.49,11.01,0.0,有,0002
桃園區,土地,三元段367-1地號,148.87,都市：其他:道路用地,,,1100720,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4466150,30000,,0.0,0,包含公共設施保留地用地；,RPTOMLLKQHGGFAH18DA,0.0,0.0,0.0,無,0003
桃園區,土地,中路段1674-166地號,70.16,都市：其他:道路用地,,,1100720,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7759668,110600,,0.0,0,包含公共設施保留地用地；,RPUOMLLKQHGGFAH28DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈祥街４０號六樓之２,8.97,都市：其他:住宅區,,,1100622,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801218,77.51,1,1,1,有,有,4900000,63218,坡道平面,32.21,0,,RPOPMLLKQHGGFAH77DA,67.94,3.53,0.0,有,0004
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路５２號十一樓,18.72,都市：其他:商業區,,,1100731,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,178.76,3,2,2,有,有,14610000,85094,坡道平面,28.22,1800000,,RPVRMLLKQHGGFAH68DA,93.14,9.47,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十一樓,16.7,都市：其他:商業區,,,1100802,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13080000,84679,坡道平面,28.22,1700000,,RPWRMLLKQHGGFAH78DA,80.28,11.29,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路８２號,19.26,都市：其他:商業區,,,1100627,土地1建物1車位1,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),店舖、住宅,鋼筋混凝土造,1091230,183.43,0,0,0,無,有,27690000,166806,坡道平面,28.22,1800000,,RPOSMLLKQHGGFAH08DA,90.66,14.91,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區慈光街１１３號六樓,15.64,都市：其他:住宅區,,,1100723,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820408,91.8,2,2,1,有,有,5730000,62418,,0.0,0,陽台外推；其他增建；,RPWSMLLKQHGGFAH88DA,69.68,7.52,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區正光一街１００號六樓,44.9,都市：其他:住宅區,,,1100730,土地1建物1車位2,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100525,266.15999999999997,4,2,3,有,有,22150000,95209,坡道平面,71.85,3650000,,RPOPMLMKQHGGFAH87DA,113.94,15.62,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十二樓,16.7,都市：其他:商業區,,,1100721,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13100000,84828,坡道平面,28.22,1700000,,RPWPMLMKQHGGFAH68DA,80.28,11.29,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十四樓,16.7,都市：其他:商業區,,,1100730,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13850000,90409,坡道平面,28.22,1700000,含裝潢費；,RPTNMLQKQHGGFAH58DA,80.28,11.29,0.0,有,
桃園區,土地,東國段233-8地號,3.0,都市：其他:道路用地,,,1100706,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,60000,,0.0,0,233-2地號非屬公共設施保留地；233-8地號係屬公共設施保留地,RPVPMLQKQHGGFAH98DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區春日路１１５５號四樓之７,5.06,都市：其他:住宅區,,,1100804,土地3建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840808,40.49,1,1,1,有,有,2450000,60509,,0.0,0,,RPXOMLRKQHGGFAH56DA,28.27,0.0,0.0,有,0005
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２號十三樓,20.16,都市：其他:住宅區,,,1100317,土地3建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,173.26,3,2,2,有,有,13360000,86218,坡道平面,50.78,2800000,,RPOPMLRKQHGGFAH38DA,72.29,9.11,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２０號十樓,15.76,都市：其他:住宅區,,,1090930,土地3建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,119.32,2,2,2,有,有,8960000,78807,坡道平面,23.39,1400000,,RPQPMLRKQHGGFAH58DA,59.34,4.43,0.0,有,
